epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6996,1.69654,3.61614,1.91467,0.27555,0.20514,0.18259,0.09015,1.76271,2.88837,2.18871,0.000276133,0.000276133,0.000276133
2,43.8978,1.60435,2.89419,1.77791,0.29741,0.28842,0.29504,0.13314,1.82937,2.68685,2.31881,0.000542834,0.000542834,0.000542834
3,63.8799,1.57907,2.69713,1.78306,0.33053,0.34055,0.30554,0.14024,1.8332,2.91133,2.20938,0.00079854,0.00079854,0.00079854
4,83.8076,1.59178,2.51928,1.75061,0.47349,0.29707,0.30047,0.13893,1.83107,2.63482,2.16522,0.00078352,0.00078352,0.00078352
5,103.925,1.60275,2.41987,1.75416,0.42411,0.4664,0.40959,0.21975,1.74657,2.78361,2.15061,0.000767026,0.000767026,0.000767026
6,124.142,1.57512,2.28026,1.73114,0.45058,0.50405,0.44667,0.22693,1.79519,2.25088,2.15117,0.000750533,0.000750533,0.000750533
7,144.537,1.54255,2.15844,1.69831,0.39799,0.35024,0.35924,0.18503,1.83042,2.69548,2.32451,0.00073404,0.00073404,0.00073404
8,165.261,1.49504,2.01368,1.66415,0.51926,0.51008,0.48758,0.25035,1.78646,1.99412,2.06115,0.000717546,0.000717546,0.000717546
9,185.651,1.48612,1.93561,1.6657,0.53363,0.44601,0.48905,0.26587,1.71274,2.0004,2.02953,0.000701053,0.000701053,0.000701053
10,206.475,1.47108,1.83353,1.6391,0.55585,0.56437,0.52925,0.3128,1.68969,1.96761,2.03494,0.000684559,0.000684559,0.000684559
11,236.735,1.44889,1.75654,1.60266,0.53313,0.48748,0.5227,0.2842,1.73159,1.93522,2.00154,0.000668066,0.000668066,0.000668066
12,271.102,1.4221,1.66035,1.60756,0.73762,0.54818,0.63446,0.34477,1.6524,1.78346,1.93931,0.000651573,0.000651573,0.000651573
13,304.209,1.40432,1.59408,1.59005,0.6763,0.54707,0.59425,0.30552,1.76331,2.00012,2.12291,0.000635079,0.000635079,0.000635079
14,338.126,1.40019,1.54443,1.59366,0.64731,0.53141,0.59721,0.32669,1.68411,1.78192,2.00141,0.000618586,0.000618586,0.000618586
15,360.199,1.3538,1.50544,1.56663,0.70358,0.62617,0.68384,0.37945,1.61772,1.63183,1.92802,0.000602092,0.000602092,0.000602092
16,380.757,1.38111,1.44923,1.56872,0.68549,0.58484,0.62551,0.36985,1.615,1.63503,1.91082,0.000585599,0.000585599,0.000585599
17,401.612,1.35106,1.40784,1.54176,0.65365,0.59875,0.61523,0.35449,1.65513,1.75625,1.96764,0.000569106,0.000569106,0.000569106
18,422.064,1.31564,1.37252,1.51603,0.75628,0.59669,0.66817,0.38897,1.68077,1.59725,1.98088,0.000552612,0.000552612,0.000552612
19,442.811,1.27937,1.34992,1.51568,0.68885,0.6034,0.6684,0.3904,1.64154,1.58933,1.93293,0.000536119,0.000536119,0.000536119
20,463.279,1.28855,1.29486,1.49118,0.66775,0.67062,0.67454,0.36354,1.66949,1.53121,1.95522,0.000519625,0.000519625,0.000519625
21,485.41,1.25689,1.2459,1.47801,0.68924,0.62058,0.63196,0.36632,1.64933,1.5534,1.95728,0.000503132,0.000503132,0.000503132
22,505.988,1.26623,1.21277,1.4748,0.67788,0.65771,0.7015,0.40204,1.58401,1.5313,1.91017,0.000486639,0.000486639,0.000486639
23,526.435,1.26278,1.19086,1.46088,0.67768,0.59537,0.66993,0.39279,1.63467,1.50775,1.96342,0.000470145,0.000470145,0.000470145
24,552.674,1.23432,1.17239,1.46168,0.77619,0.6832,0.73444,0.4257,1.6127,1.4268,1.95688,0.000453652,0.000453652,0.000453652
25,586.832,1.19537,1.12517,1.43835,0.68654,0.60338,0.63911,0.37935,1.60415,1.6,1.94134,0.000437158,0.000437158,0.000437158
26,621.751,1.2032,1.13323,1.42939,0.77107,0.66983,0.75594,0.42868,1.55029,1.49179,1.88449,0.000420665,0.000420665,0.000420665
27,656.503,1.19912,1.12498,1.42477,0.83031,0.64591,0.7304,0.4231,1.61631,1.42291,1.96843,0.000404172,0.000404172,0.000404172
28,690.942,1.16451,1.05461,1.40641,0.68069,0.6636,0.71856,0.4221,1.59919,1.38949,1.96091,0.000387678,0.000387678,0.000387678
29,724.508,1.15231,1.02555,1.38874,0.69917,0.7094,0.73272,0.45233,1.53002,1.34205,1.86736,0.000371185,0.000371185,0.000371185
30,757.735,1.14464,1.01967,1.39047,0.84129,0.67307,0.76638,0.45579,1.54554,1.32693,1.88256,0.000354691,0.000354691,0.000354691
31,791.492,1.13473,1.00139,1.38362,0.79945,0.66277,0.73587,0.43876,1.59673,1.42277,1.93743,0.000338198,0.000338198,0.000338198
32,826.565,1.09998,0.98023,1.36332,0.81256,0.64041,0.75404,0.45065,1.50571,1.39846,1.8433,0.000321705,0.000321705,0.000321705
33,859.39,1.10007,0.97983,1.35648,0.79446,0.68775,0.74509,0.4441,1.54318,1.26781,1.90797,0.000305211,0.000305211,0.000305211
34,881.105,1.08912,0.95882,1.3598,0.84637,0.67833,0.76916,0.45586,1.52583,1.3616,1.8614,0.000288718,0.000288718,0.000288718
35,902.173,1.07446,0.93354,1.33856,0.84722,0.64919,0.75552,0.46175,1.53277,1.31992,1.87449,0.000272224,0.000272224,0.000272224
36,931.882,1.07277,0.93646,1.33456,0.82362,0.6974,0.78373,0.46142,1.53421,1.26837,1.88223,0.000255731,0.000255731,0.000255731
37,964.883,1.05197,0.90266,1.33364,0.87308,0.66868,0.78138,0.46911,1.50184,1.32852,1.84193,0.000239238,0.000239238,0.000239238
38,999.165,1.0385,0.88566,1.326,0.7954,0.6739,0.78028,0.46064,1.54086,1.26722,1.88787,0.000222744,0.000222744,0.000222744
39,1032.26,1.032,0.87923,1.32558,0.77681,0.73679,0.80441,0.46917,1.56652,1.24985,1.92669,0.000206251,0.000206251,0.000206251
40,1067.12,1.00715,0.86717,1.30762,0.81995,0.73954,0.79677,0.48305,1.51117,1.15084,1.83909,0.000189757,0.000189757,0.000189757
41,1154.22,0.90281,0.65644,1.30127,0.8133,0.67198,0.76666,0.47279,1.53046,1.29647,1.89842,0.000173264,0.000173264,0.000173264
42,1189.53,0.88363,0.63149,1.29118,0.76019,0.73406,0.77171,0.46326,1.48767,1.333,1.8509,0.000156771,0.000156771,0.000156771
43,1223.31,0.84528,0.6165,1.2644,0.82012,0.74675,0.8019,0.49119,1.46133,1.23076,1.84719,0.000140277,0.000140277,0.000140277
44,1255.4,0.82476,0.57951,1.23489,0.90063,0.73369,0.81176,0.50635,1.46593,1.24305,1.86821,0.000123784,0.000123784,0.000123784
45,1290.12,0.80385,0.5878,1.23322,0.81116,0.74802,0.7961,0.50538,1.46748,1.22457,1.88217,0.00010729,0.00010729,0.00010729
46,1325.76,0.7811,0.56112,1.20069,0.89504,0.71511,0.80534,0.50735,1.43404,1.22168,1.8305,9.0797e-05,9.0797e-05,9.0797e-05
47,1360.72,0.77677,0.5522,1.20677,0.85859,0.73953,0.79653,0.50871,1.44699,1.23039,1.85375,7.43036e-05,7.43036e-05,7.43036e-05
48,1395.87,0.76261,0.53561,1.20259,0.85539,0.73161,0.81385,0.51978,1.42987,1.21808,1.84618,5.78102e-05,5.78102e-05,5.78102e-05
49,1430.13,0.747,0.53283,1.18331,0.8368,0.74985,0.81067,0.51909,1.43542,1.20055,1.8457,4.13168e-05,4.13168e-05,4.13168e-05
50,1463.69,0.7389,0.51582,1.17618,0.8324,0.77439,0.80992,0.51819,1.44475,1.18184,1.86456,2.48234e-05,2.48234e-05,2.48234e-05
